date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare,report_date,epsEstimated,time,revenueEstimated,updatedFromDate,fiscalDateEnding,surprise(%),QuarterAvgPrice,QuarterAvgVolume
2025-03-31,HWM,USD,4281,2025-05-01,2025-05-01 16:42:19,2025,Q1,1942000000.0,1290000000.0,652000000.0,0.3357363543,8000000,0.0,0.0,85000000.0,0.0,158000000.0,1448000000.0,0.0,39000000.0,69000000.0,554000000.0,0.2852729145,494000000.0,0.254376931,-48000000.0,446000000.0,0.2296601442,102000000.0,344000000.0,0.1771369722,0.85,0.84,405000000,407000000,https://www.sec.gov/Archives/edgar/data/4281/000000428125000019/0000004281-25-000019-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428125000019/hwm-20250331.htm,4.795061728395062,0.8493827160493828,0.6246913580246913,0.3308641975308642,1.3234567901234568,11.832098765432098,0.725925925925926,11.832098765432098,8.696296296296296,52540649999.99999,55487649999.99999,38.18361191860465,27.054917610710604,207.6705533596838,392.09440298507457,10.964242487479131,10.964242487479131,28.572425334706484,100.15821299638988,219.3187747035573,414.0869402985074,0.0065473114626484,0.0025504062092874,0.7268363939899833,0.3233382844411437,5.319494584837545,2.295865633074935,12.666666666666666,0.7354651162790697,0.0007993810506721,0.1220930232558139,0.0,0.0041194644696189,0.4175640549572967,0.4703557312252964,0.0612770339855818,1.7246376811594204,0.0072090628218331,15.037438418288318,0.041276397088578,0.05482945489321,-9.425308641975308,2006000000.0,294000000.0,-2426000000.0,8944000000.0,805000000.0,969500000.0,1871000000.0,41.75592173017508,69.13953488372093,132.69767441860463,2.155382907880133,1.301715438950555,0.6782334384858044,0.0717863105175292,0.2938271604938272,2025-05-01,0.776,bmo,1941251500.0,2025-05-11,2025-03-31,0.1082474226804123,127.00583333333334,2890582.35
2024-12-31,HWM,USD,4281,2025-02-14,2025-02-13 17:35:08,2024,Q4,1891000000.0,1350000000.0,541000000.0,0.2860920148,7000000,92000000.0,-15000000.0,77000000.0,0.0,84000000.0,1446000000.0,5000000.0,40000000.0,73000000.0,505000000.0,0.2670544685,445000000.0,0.2353252247,-53000000.0,392000000.0,0.2072977261,78000000.0,314000000.0,0.1660497091,0.77,0.77,406000000,408000000,https://www.sec.gov/Archives/edgar/data/4281/000000428125000011/0000004281-25-000011-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428125000011/hwm-20241231.htm,4.657635467980295,0.7733990147783252,1.1822660098522169,0.9310344827586208,1.3891625615763548,11.216748768472906,0.1699507389162561,11.216748768472906,8.647783251231527,44404220000.0,47311220000.0,35.35367834394904,23.4818720253834,92.50879166666668,117.47148148148148,9.750597277119017,9.750597277119017,25.019153886832363,93.68558415841584,98.56504166666669,125.16195767195768,0.0070713999705433,0.0085127044231381,0.7621870882740448,0.3299743321608518,5.756435643564356,2.170432537120723,11.125,1.5286624203821657,0.0007431726083692,0.1050955414012738,0.0486515071390798,0.0037017451084082,0.4263713280730107,0.2125,0.0539397144368059,1.3972602739726028,0.0047593865679534,13.970970082547636,0.039548882906097,0.0520384487901889,-9.727216748768472,1813000000.0,69000000.0,-2603000000.0,8839000000.0,742000000.0,932500000.0,1871000000.0,33.74405076679005,63.2,122.66666666666669,2.667136812411848,1.4240506329113924,0.7336956521739131,0.0689503732981993,0.2512315270935961,2025-02-13,0.71,bmo,1879664403.0,2025-05-11,2024-12-31,0.0422535211267606,109.5059375,2254597.984375
2024-09-30,HWM,USD,4281,2024-11-07,2024-11-06 17:42:04,2024,Q3,1835000000.0,1253000000.0,582000000.0,0.3171662125,9000000,85000000.0,0.0,85000000.0,67000000.0,94000000.0,1347000000.0,4000000.0,44000000.0,68000000.0,466000000.0,0.2539509537,421000000.0,0.2294277929,-67000000.0,354000000.0,0.1929155313,22000000.0,332000000.0,0.1809264305,0.81,0.81,408000000,410000000,https://www.sec.gov/Archives/edgar/data/4281/000000428124000034/0000004281-24-000034-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428124000034/hwm-20240930.htm,4.497549019607843,0.8137254901960784,0.5980392156862745,0.3970588235294117,1.16421568627451,11.036764705882351,-0.0686274509803921,11.036764705882351,8.426470588235293,40902000000.0,43821000000.0,30.799698795180724,22.28991825613079,167.63114754098362,252.4814814814815,9.08327781479014,9.08327781479014,23.88065395095368,94.03648068669528,179.59426229508196,270.5,0.0081169624957214,0.0039606865189966,0.7537197423939596,0.3214623981814737,6.263948497854077,2.2353328938694794,9.568181818181818,0.7349397590361446,0.0008312551953449,0.1024096385542168,0.0463215258855585,0.0049046321525885,0.4291532487213487,0.3360655737704918,0.0446866485013624,1.2058823529411764,0.0087193460490463,14.215139019216103,0.0436669053519232,0.0550854488136718,-9.920955882352942,1874000000.0,-28000000.0,-2664000000.0,8763000000.0,771500000.0,944000000.0,1875000000.0,38.01089918256131,65.8659217877095,136.61612130885874,2.367741935483871,1.366412213740458,0.6587802313354364,0.0737286253608705,0.2009803921568627,2024-11-06,0.66,bmo,1852345850.0,2025-04-24,2024-09-30,0.0757575757575756,90.289375,2695223.15625
2024-06-30,HWM,USD,4281,2024-07-30,2024-07-30 17:18:07,2024,Q2,1880000000.0,1356000000.0,524000000.0,0.2787234043,7000000,106000000.0,-9000000.0,97000000.0,-2000000.0,104000000.0,1460000000.0,6000000.0,49000000.0,69000000.0,452000000.0,0.2404255319,420000000.0,0.2234042553,-64000000.0,334000000.0,0.1776595745,68000000.0,266000000.0,0.1414893617,0.65,0.65,408000000,411000000,https://www.sec.gov/Archives/edgar/data/4281/000000428124000026/0000004281-24-000026-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428124000026/hwm-20240630.htm,4.607843137254902,0.6519607843137255,0.9730392156862744,0.8382352941176471,1.8455882352941173,10.482843137254902,-0.5588235294117647,10.482843137254902,9.47549019607843,31538400000.0,34602400000.0,29.641353383458643,16.775744680851062,79.44181360201512,92.21754385964913,7.373953705868599,7.373953705868599,18.40553191489362,76.55398230088495,87.15969773299749,101.1766081871345,0.0084341627983664,0.0108439235978997,0.8924479775543606,0.3574304710178855,6.778761061946903,1.5279898218829515,8.571428571428571,1.4924812030075187,0.0006658549577657,0.0789473684210526,0.0563829787234042,0.0037234042553191,0.4218559790242532,0.1385390428211587,0.0292553191489361,0.7971014492753623,0.0122340425531914,12.40056689252775,0.0365963914621522,0.0430839002267573,-10.169117647058824,1245000000.0,-228000000.0,-2799000000.0,8214000000.0,785500000.0,967500000.0,1815500000.0,36.765957446808514,64.44690265486726,122.65486725663716,2.4479166666666665,1.396498455200824,0.7337662337662337,0.0621931260229132,0.1348039215686274,2024-07-30,0.6,bmo,1834009444.0,2025-04-24,2024-06-30,0.1166666666666667,75.71920634920636,3147256.301587302
2024-03-31,HWM,USD,4281,2024-05-02,2024-05-02 16:31:49,2024,Q1,1824000000.0,1357000000.0,467000000.0,0.2560307018,10000000,88000000.0,0.0,88000000.0,-12000000.0,98000000.0,1455000000.0,5000000.0,49000000.0,67000000.0,419000000.0,0.2297149123,369000000.0,0.2023026316,-66000000.0,303000000.0,0.1661184211,60000000.0,243000000.0,0.1332236842,0.59,0.59,410000000,412000000,https://www.sec.gov/Archives/edgar/data/4281/000000428124000014/0000004281-24-000014-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428124000014/hwm-20240331.htm,4.4487804878048784,0.5926829268292683,0.4317073170731707,0.2317073170731707,1.302439024390244,9.965853658536586,-1.053658536585366,9.965853658536586,9.482926829268292,27105100000.0,30410100000.0,27.88590534979424,14.860252192982456,153.1361581920904,285.3168421052632,6.633651492902594,6.633651492902594,16.67220394736842,72.57780429594273,171.80847457627118,320.1063157894737,0.008965102508384,0.0035048754662406,0.9395496818404308,0.3687800192122958,7.88782816229117,1.967020023557126,7.530612244897959,0.7283950617283951,0.0007747619451689,0.0864197530864197,0.0482456140350877,0.0054824561403508,0.4340057636887608,0.4632768361581921,0.0449561403508771,1.2238805970149254,0.0082236842105263,11.528152695926906,0.0330538024203403,0.0412423625254582,-10.478658536585366,1642000000.0,-432000000.0,-2984000000.0,8600000000.0,747500000.0,973000000.0,1774000000.0,39.62171052631579,63.93515106853353,118.25350036845984,2.27148194271482,1.407676348547718,0.7610768367919237,0.0594713656387665,0.2,2024-05-02,0.52,bmo,1736423188.0,2025-04-24,2024-03-31,0.096153846153846,61.312295081967214,3375761.5081967213
2023-12-31,HWM,USD,4281,2024-02-13,2024-02-13 17:05:19,2023,Q4,1731000000.0,1230000000.0,501000000.0,0.2894280763,9000000,93000000.0,0.0,93000000.0,0.0,170000000.0,1400000000.0,8000000.0,52000000.0,68000000.0,390000000.0,0.2253032929,326000000.0,0.1883304448,-56000000.0,270000000.0,0.1559792028,34000000.0,236000000.0,0.1363373772,0.57,0.57,411218336,413941353,https://www.sec.gov/Archives/edgar/data/4281/000000428124000007/0000004281-24-000007-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428124000007/hwm-20231231.htm,4.209442645086721,0.5739043698673981,1.113763565251137,0.9800146654939044,1.48339688821658,9.817169242180874,-1.2231944832343271,9.817169242180874,9.45239951557024,22255136344.32,25480136344.32,23.575356296949156,12.856808979965338,48.59200075179039,55.22366338540943,5.512790771444141,5.512790771444141,14.719893901975736,65.33368293415384,55.6334854679476,63.2261447749876,0.0106042936043495,0.0181081793328511,0.9499628436958136,0.3677598772535481,8.26923076923077,1.858744394618834,6.269230769230769,1.9406779661016949,0.0009436023969972,0.0889830508474576,0.0537261698440207,0.0051993067590987,0.4353663214422708,0.1200873362445414,0.0317735413056037,0.8088235294117647,0.0063547082611207,11.25911263714183,0.0320815298523022,0.0400815217391304,-10.650060117941823,1532000000.0,-503000000.0,-3075000000.0,8528000000.0,709500000.0,938000000.0,1756500000.0,35.97920277296361,71.85365853658537,129.14634146341464,2.5014450867052025,1.2525458248472503,0.6968838526912181,0.0584592519197423,0.1337488997572326,2024-02-13,0.47,bmo,1652929177.0,2025-04-24,2023-12-31,0.1276595744680852,49.32888888888888,2351507.53968254
2023-09-30,HWM,USD,4281,2023-11-02,2023-11-02 16:26:11,2023,Q3,1658000000.0,1183000000.0,475000000.0,0.2864897467,9000000,94000000.0,-7000000.0,87000000.0,-11000000.0,164000000.0,1347000000.0,5000000.0,54000000.0,68000000.0,364000000.0,0.2195416164,307000000.0,0.1851628468,-65000000.0,242000000.0,0.1459589867,54000000.0,188000000.0,0.1133896261,0.45,0.45,412000000,415000000,https://www.sec.gov/Archives/edgar/data/4281/000000428123000020/0000004281-23-000020-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428123000020/hwm-20230930.htm,4.024271844660194,0.4563106796116505,0.4635922330097087,0.3203883495145631,1.029126213592233,9.398058252427184,-1.558252427184466,9.398058252427184,9.33980582524272,19055000000.0,22425000000.0,25.33909574468085,11.49276236429433,99.76439790575915,144.3560606060606,4.921229338842975,4.921229338842975,13.525331724969844,61.60714285714285,117.4083769633508,169.88636363636363,0.0098661768564681,0.0069273156651797,0.9798553719008264,0.3732048003147747,9.25824175824176,2.139614855570839,5.685185185185185,1.0159574468085106,0.0008921542902125,0.0904255319148936,0.0566948130277442,0.0054282267792521,0.4440291166633878,0.3089005235602094,0.0355850422195416,0.8676470588235294,0.0078407720144752,9.82292078937756,0.02727537371553,0.0332625619249823,-10.802791262135925,1657000000.0,-642000000.0,-3183000000.0,8467000000.0,699000000.0,887500000.0,1731500000.0,39.46320868516284,68.01352493660187,132.98393913778528,2.2806052269601103,1.3232662192393736,0.6767734553775744,0.0485537190082644,0.1432038834951456,2023-11-02,0.43,bmo,1593980000.0,2025-04-24,2023-09-30,0.0697674418604651,48.72634920634921,2534932.26984127
2023-06-30,HWM,USD,4281,2023-08-01,2023-08-01 16:51:48,2023,Q2,1648000000.0,1196000000.0,452000000.0,0.2742718447,9000000,99000000.0,-11000000.0,88000000.0,13000000.0,164000000.0,1360000000.0,5000000.0,55000000.0,67000000.0,365000000.0,0.2214805825,285000000.0,0.1729368932,-42000000.0,243000000.0,0.1474514563,50000000.0,193000000.0,0.1171116505,0.47,0.46,413000000,417000000,https://www.sec.gov/Archives/edgar/data/4281/000000428123000016/0000004281-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428123000016/hwm-20230630.htm,3.990314769975787,0.4673123486682808,0.5544794188861986,0.4552058111380145,1.2953995157384988,9.14043583535109,-1.849878934624697,9.14043583535109,9.79176755447942,20468280000.0,23922280000.0,26.51331606217617,12.42007281553398,89.38113537117904,108.87382978723404,5.422060927152318,5.422060927152318,14.515946601941748,65.54049315068494,104.46410480349346,127.24617021276596,0.009429224145849,0.0091849437275628,1.0566887417218542,0.3898172578911365,9.463013698630135,2.218439716312057,5.181818181818182,1.1865284974093264,0.0008794095058304,0.0932642487046632,0.0600728155339805,0.0054611650485436,0.4435649369686309,0.1790393013100436,0.024878640776699,0.6119402985074627,0.0072815533980582,9.803436494748505,0.0255569633839175,0.0338953284158763,-11.046610169491526,1718000000.0,-764000000.0,-3330000000.0,8576000000.0,671000000.0,879000000.0,1688500000.0,36.64441747572816,66.29598662207358,129.0551839464883,2.456035767511177,1.3575482406356414,0.6973760932944606,0.0511258278145695,0.099273607748184,2023-08-01,0.43,bmo,1609470000.0,2025-04-24,2023-06-30,0.0232558139534883,44.53032258064516,2763823.14516129
2023-03-31,HWM,USD,4281,2023-05-02,2023-05-02 16:24:00,2023,Q1,1603000000.0,1164000000.0,439000000.0,0.2738615097,9000000,78000000.0,-3000000.0,75000000.0,69000000.0,153000000.0,1317000000.0,5000000.0,57000000.0,69000000.0,346000000.0,0.2158452901,285000000.0,0.1777916407,-65000000.0,220000000.0,0.13724267,72000000.0,148000000.0,0.0923268871,0.36,0.35,412000000,418000000,https://www.sec.gov/Archives/edgar/data/4281/000000428123000008/0000004281-23-000008-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428123000008/hwm-20230331.htm,3.8907766990291264,0.3592233009708738,0.0558252427184466,-0.0995145631067961,1.3033980582524272,9.12864077669903,-1.895631067961165,9.12864077669903,9.817961165048544,17456440000.0,20907440000.0,29.487229729729727,10.889856519026823,758.975652173913,-425.7668292682927,4.641435788354161,4.641435788354161,13.042694946974423,60.42612716763006,909.0191304347826,-509.93756097560976,0.0084782464236694,-0.0023487034011516,1.060356288221218,0.3919795557302929,9.97398843930636,2.178902352102637,5.0,0.1554054054054054,0.0009738526297458,0.1148648648648648,0.04865876481597,0.0056144728633811,0.4464320817770788,2.782608695652174,0.0399251403618215,0.927536231884058,0.0087336244541484,8.589671742658203,0.0217772913138655,0.026278409090909,-11.02366504854369,1654000000.0,-781000000.0,-3356000000.0,8517000000.0,604000000.0,919500000.0,1635500000.0,37.67311291328758,67.80927835051546,128.50515463917526,2.3889716840536512,1.3272519954389963,0.7003610108303249,0.0393512363733049,0.1553398058252427,2023-05-02,0.38,bmo,1487880000.0,2025-04-24,2023-03-31,0.1052631578947368,40.97548387096774,3030777.870967742
2022-12-31,HWM,USD,4281,2023-02-14,2023-02-14 17:10:40,2022,Q4,1513000000.0,1110000000.0,403000000.0,0.2663582287,9000000,0.0,0.0,63000000.0,67000000.0,139000000.0,1249000000.0,3000000.0,57000000.0,67000000.0,272000000.0,0.1797752809,220000000.0,0.1454064772,-72000000.0,148000000.0,0.0978189028,37000000.0,111000000.0,0.0733641771,0.27,0.26,413657108,419082115,https://www.sec.gov/Archives/edgar/data/4281/000000428123000004/0000004281-23-000004-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428123000004/hwm-20221231.htm,3.657618763799896,0.2683381908670115,1.0999448364368491,0.9911590833826552,1.91221179257483,8.705277705514492,-2.255491279990286,8.705277705514492,10.19926871412542,16302226626.28,19673226626.28,36.71672663576576,10.774769746384663,35.82906950830768,39.76152835678049,4.527138746537072,4.527138746537072,13.002793540171844,72.32803906720588,43.2378607170989,47.98347957629268,0.0068088858377825,0.0251499386800978,1.155790058317134,0.4058508044856168,12.393382352941176,2.120782726045884,3.8596491228070176,4.099099099099099,0.0010428023355162,0.1531531531531531,0.0,0.0059484467944481,0.4421257922964408,0.0989010989010989,0.0297422339722405,0.6716417910447762,0.007270323859881,7.249763139998816,0.0187393526405451,0.0194022024121657,-11.255094884045846,1661000000.0,-933000000.0,-3511000000.0,8527000000.0,568500000.0,887000000.0,1610500000.0,31.943159286186383,78.0,130.45945945945945,2.817504655493482,1.1538461538461535,0.689869484151647,0.030824770896973,0.1087857530541938,2023-02-14,0.38,bmo,1466780300.0,2025-04-24,2022-12-31,0.0,36.44857142857144,3009398.6825396824
2022-09-30,HWM,USD,4281,2022-10-31,2022-10-31 16:38:42,2022,Q3,1433000000.0,1056000000.0,377000000.0,0.2630844382,7000000,0.0,0.0,73000000.0,65000000.0,145000000.0,1201000000.0,2000000.0,57000000.0,65000000.0,226000000.0,0.1577110956,161000000.0,0.1123517097,-124000000.0,104000000.0,0.0725750174,24000000.0,80000000.0,0.0558269365,0.19,0.19,415000000,420000000,https://www.sec.gov/Archives/edgar/data/4281/000000428122000020/0000004281-22-000020-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428122000020/hwm-20220930.htm,3.4530120481927717,0.1927710843373494,0.1566265060240964,0.0554216867469879,1.091566265060241,7.886746987951807,-2.927710843373494,7.886746987951807,10.455421686746988,12835950000.0,16664950000.0,40.11234375,8.957397069085834,197.47615384615384,558.0847826086956,3.921769019248396,3.921769019248396,11.629413817166784,73.73871681415929,256.3838461538461,724.5630434782609,0.0062324954522259,0.0017918424425149,1.3082798655667582,0.4312619599153993,16.942477876106196,2.060825488776249,2.824561403508772,0.8125,0.0007011557383754,0.1125,0.0,0.0048848569434752,0.4520092657870883,0.6461538461538462,0.0293091416608513,0.6461538461538462,0.0097697138869504,5.848724416241577,0.0144342836650528,0.0147031795625804,-11.920481927710844,1465000000.0,-1215000000.0,-3810000000.0,8241000000.0,575000000.0,813000000.0,1587500000.0,37.68318213538032,69.20454545454545,137.38636363636363,2.388333333333333,1.3004926108374384,0.6550868486352357,0.0244424075771463,0.1012048192771084,2022-10-31,0.36,bmo,1444271972.0,2025-04-24,2022-09-30,0.0,35.09140625,2862963.796875
2022-06-30,HWM,USD,4281,2022-08-04,2022-08-04 16:14:45,2022,Q2,1393000000.0,987000000.0,406000000.0,0.2914572864,9000000,83000000.0,0.0,83000000.0,67000000.0,159000000.0,1146000000.0,1000000.0,57000000.0,67000000.0,307000000.0,0.2203876525,241000000.0,0.1730078966,-58000000.0,183000000.0,0.1313711414,36000000.0,147000000.0,0.1055276382,0.35,0.35,417000000,422000000,https://www.sec.gov/Archives/edgar/data/4281/000000428122000017/0000004281-22-000017-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428122000017/hwm-20220630.htm,3.34052757793765,0.3525179856115107,0.3788968824940047,0.2733812949640288,1.287769784172662,8.203836930455635,-2.697841726618705,8.203836930455635,10.410071942446043,13114650000.0,16861650000.0,22.303826530612245,9.414680545585068,83.00411392405064,115.0407894736842,3.833572054954692,3.833572054954692,12.104558506819814,54.923941368078175,106.71930379746836,147.9092105263158,0.0112088389701593,0.0086925689972664,1.252265419467992,0.426183844011142,12.205211726384364,2.145990922844176,4.228070175438597,1.0748299319727892,0.0006862554471526,0.0612244897959183,0.059583632447954,0.0064608758076094,0.4522483087942698,0.2784810126582278,0.0315865039483129,0.6567164179104478,0.0129217516152189,8.066597892092716,0.022091768108459,0.0266981474754812,-11.750599520383693,1515000000.0,-1125000000.0,-3794000000.0,8401000000.0,539500000.0,795500000.0,1523000000.0,35.534816941852114,74.22492401215806,142.52279635258358,2.5327272727272727,1.2125307125307123,0.6314779270633397,0.0429698918444899,0.105515587529976,2022-08-04,0.33,bmo,1367523273.0,2025-04-24,2022-06-30,0.0606060606060604,34.24903225806452,2524092.1129032257
2022-03-31,HWM,USD,4281,2022-05-03,2022-05-03 16:28:45,2022,Q1,1324000000.0,950000000.0,374000000.0,0.2824773414,7000000,67000000.0,0.0,67000000.0,66000000.0,140000000.0,1090000000.0,0.0,58000000.0,66000000.0,295000000.0,0.2228096677,230000000.0,0.1737160121,-59000000.0,171000000.0,0.1291540785,40000000.0,131000000.0,0.0989425982,0.31,0.31,419000000,425000000,https://www.sec.gov/Archives/edgar/data/4281/000000428122000008/0000004281-22-000008-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428122000008/hwm-20220331.htm,3.159904534606205,0.3126491646778043,0.1312649164677804,-0.0167064439140811,1.2410501193317425,8.250596658711217,-2.7183770883054894,8.250596658711217,10.498806682577566,15058860000.0,18879860000.0,28.73828244274809,11.373761329305136,273.7974545454545,-2151.2657142857142,4.3560485970494645,4.3560485970494645,14.259712990936556,63.99952542372881,343.2701818181818,-2697.122857142858,0.0086991976816306,-0.0004648426242092,1.255713045993636,0.4285714285714285,12.952542372881355,2.216733067729084,3.9655172413793114,0.4198473282442748,0.0005976548025547,0.0687022900763358,0.0506042296072507,0.0052870090634441,0.453746667983019,1.1272727272727272,0.0468277945619335,0.9393939393939394,0.0083081570996978,7.618378991123358,0.0197776215522905,0.0236761250677751,-11.96599045346062,1527000000.0,-1139000000.0,-3890000000.0,8523000000.0,474500000.0,754500000.0,1442500000.0,35.95921450151057,73.61052631578947,140.49473684210523,2.502835538752363,1.2226512226512227,0.6405933917734322,0.037894127856523,0.1479713603818615,2022-05-03,0.29,bmo,1306261818.0,2025-04-24,2022-03-31,0.0689655172413793,34.1283870967742,3281312.3225806453
2021-12-31,HWM,USD,4281,2022-02-14,2022-02-14 16:36:50,2021,Q4,1285000000.0,938000000.0,347000000.0,0.2700389105,4000000,64000000.0,-3000000.0,61000000.0,-6000000.0,132000000.0,1070000000.0,0.0,58000000.0,67000000.0,203000000.0,0.1579766537,147000000.0,0.1143968872,-69000000.0,78000000.0,0.0607003891,1000000.0,77000000.0,0.059922179,0.18,0.18,425660650,431460887,https://www.sec.gov/Archives/edgar/data/4281/000000428122000004/0000004281-22-000004-index.htm,https://www.sec.gov/Archives/edgar/data/4281/000000428122000004/hwm-20211231.htm,3.018836718874531,0.1808952742049329,0.7118346504427882,0.568528004644075,1.6914882782798928,8.241306778063699,-2.603012517130724,8.241306778063699,10.078450991417697,13548778489.5,17060778489.5,43.98954055032467,10.543796489883269,44.71544055940594,55.9866879731405,3.862251564851768,3.862251564851768,13.276870419844355,84.04324379064039,56.30619963531353,70.49908466735538,0.0056831691550403,0.0178613887729838,1.2063854047890537,0.4141305411488404,17.300492610837438,2.184357541899441,2.534482758620689,3.935064935064935,0.0005904591329912,0.1038961038961039,0.0498054474708171,0.003112840466926,0.4517076034837068,0.2013201320132013,0.0474708171206225,0.9104477611940298,0.0101167315175097,5.791658019259953,0.0161167686156579,0.0137426378725682,-11.68771414505898,1484000000.0,-1108000000.0,-3974000000.0,8567000000.0,442500000.0,689000000.0,1411000000.0,29.41634241245136,70.23454157782515,134.52025586353946,3.0595238095238093,1.2814207650273224,0.6690442225392297,0.0219498289623717,0.1433066457987131,2022-02-02,0.29,bmo,1310330545.0,2025-04-24,2021-12-31,0.0344827586206896,30.81984375,2699791.984375
